label,cate_1,cate_2,cate_3,cate_4,cate6,float_1,float_2,float_3,float_4
0,131,1,49,45,488,0.0659,0.5556,-3.8333,0.6044
0,131,1,49,45,488,0.0659,0.5556,83.1667,0.6044
0,131,1,49,45,488,0.0659,0.5556,-3.8333,0.6044
0,131,1,49,45,488,0.0659,0.5556,83.1667,0.6044
0,131,1,49,45,488,0.0659,0.5556,-16.8333,0.6044
0,131,1,49,45,488,0.0659,0.5556,-16.8333,0.6044
0,553,20,33,56,207,0.0323,0.0,-21.0,0.129
0,172,20,33,56,207,0.0645,0.1667,-45.0,0.129
0,205,20,33,56,207,0.0,0.0,-45.0,0.129
0,484,9,33,56,207,0.0,0.0,-52.0,0.7742
0,172,20,33,56,207,0.0645,0.1667,-45.0,0.129
0,205,20,33,56,207,0.0,0.0,-45.0,0.129
0,484,9,33,56,207,0.0,0.0,-52.0,0.7742
0,553,20,33,56,207,0.0323,0.0,-21.0,0.129
0,153,1694,47,534,416,0.8519,1.0,123.5217,0.7407
0,488,1,12,0,131,0.2,1.0,0.0,1.0
0,236,1,12,0,131,0.0,0.0,-340.0,1.0
0,236,1,12,0,131,0.0,0.0,-340.0,1.0
0,236,120,12,0,131,0.0,0.0,-177.0,0.0
0,131,1,12,0,131,0.2,0.0,2.5,1.0
0,488,1,12,0,131,0.2,1.0,-156.0,1.0
0,236,120,12,0,131,0.0,0.0,-331.0,0.0
0,236,120,12,0,131,0.0,0.0,-331.0,0.0
0,488,1,12,0,131,0.2,1.0,-156.0,1.0
0,131,1,12,0,131,0.2,0.0,-69.5,1.0
0,131,1,12,0,131,0.2,0.0,-69.5,1.0
0,153,1,12,0,131,0.0,0.0,-88.0,1.0
0,131,1,12,0,131,0.2,0.0,-122.5,1.0
0,487,1,12,0,131,0.0,0.0,-214.0,1.0
0,153,1,12,0,131,0.0,0.0,-88.0,1.0
0,131,1,12,0,131,0.2,0.0,-122.5,1.0
0,487,1,12,0,131,0.0,0.0,-214.0,1.0
0,454,1,12,0,131,0.0,0.0,-577.0,1.0
0,487,1,12,0,131,0.0,0.0,-475.0,1.0
0,368,1,12,0,131,0.0,0.0,-180.0,1.0
0,454,1,12,0,131,0.0,0.0,-577.0,1.0
